"Central.Air","Lot.Shape","Garage.Cars","Overall.Qual","TotRms.AbvGrd","Gr.Liv.Area","Garage.Area","Fireplaces","Yr.Sold","SalePrice"
"Y","IR1",2,5,7,1287,576,1,2010,162000
"Y","Reg",2,7,11,2978,564,1,2010,242000
"Y","Reg",1,6,5,1224,280,0,2010,132000
"Y","Reg",1,5,6,1246,305,0,2010,154000
"Y","Reg",2,5,6,1385,720,0,2010,166000
"Y","Reg",2,5,5,900,576,0,2010,134800
"Y","IR1",2,6,5,1116,440,0,2010,160000
"Y","IR1",2,5,6,1175,484,0,2010,148000
"Y","Reg",2,6,7,1395,440,1,2010,192000
"Y","Reg",2,6,7,1839,442,1,2010,155000
"Y","Reg",1,4,9,1844,240,2,2010,80400
"Y","Reg",0,4,7,1140,0,0,2010,96500
"Y","Reg",0,5,5,936,0,1,2010,109500
"Y","Reg",2,5,5,1028,360,1,2010,115000
"Y","Reg",2,5,6,1347,551,0,2010,143000
"N","Reg",1,3,8,1605,379,0,2010,107400
"Y","Reg",1,4,4,747,220,0,2010,80000
"Y","Reg",1,5,4,804,240,2,2010,119000
"Y","Reg",2,5,6,1316,484,0,2010,130000
"Y","Reg",1,6,6,1251,240,0,2010,119000
"Y","Reg",1,5,7,1633,240,1,2010,129000
"Y","Reg",1,5,6,1245,315,0,2010,100000
"N","Reg",2,2,5,832,780,1,2010,12789
"Y","Reg",2,6,5,720,484,0,2010,105900
"N","Reg",1,8,7,1566,288,0,2010,150000
"Y","Reg",1,5,7,1652,416,0,2010,139000
"Y","Reg",2,8,7,2268,624,0,2010,240000
"N","Reg",0,5,12,2256,0,0,2010,76500
"Y","Reg",2,6,6,1236,923,0,2010,149700
"Y","Reg",2,4,6,1363,528,0,2010,125500
"Y","Reg",2,4,11,2290,560,0,2010,122500
"Y","Reg",2,6,6,1470,624,0,2010,140750
"Y","Reg",1,5,7,1612,363,0,2010,128500
"N","IR1",1,7,8,2068,315,1,2010,209500
"N","Reg",1,4,4,765,200,0,2010,87000
"Y","Reg",1,6,5,1132,240,0,2010,134000
"Y","Reg",2,6,6,1196,576,2,2010,128000
"Y","Reg",1,5,7,1453,240,2,2010,132000
"Y","Reg",1,6,6,1416,312,0,2010,139900
"Y","Reg",2,5,5,1040,624,0,2010,123900
"Y","Reg",2,5,7,1536,480,1,2010,138400
"Y","Reg",1,6,5,1068,288,1,2010,109500
"Y","IR1",2,7,9,1710,480,0,2010,140000
"Y","Reg",2,4,9,1962,572,1,2010,149500
"Y","Reg",0,6,7,1560,0,0,2010,159900
"Y","Reg",1,6,6,1324,180,0,2010,122000
"N","IR2",2,5,5,816,516,0,2010,110000
"N","Reg",0,4,7,1092,0,0,2010,55000
"Y","Reg",2,5,8,1812,672,1,2010,140000
"Y","Reg",1,7,10,2403,349,2,2010,244400
"Y","IR1",1,5,8,1675,365,2,2010,173000
"N","IR1",1,5,6,1224,180,0,2010,107500
"N","Reg",0,5,6,1392,0,0,2010,100000
"N","IR1",1,6,5,919,231,0,2010,95000
"N","IR1",0,4,7,1884,0,0,2010,93369
"Y","Reg",2,5,7,1680,450,1,2010,114900
"N","Reg",0,5,6,1020,0,0,2010,94000
"N","Reg",0,4,8,1832,0,0,2010,136000
"N","Reg",0,4,8,1768,0,0,2010,136500
"Y","Reg",2,5,6,1039,504,0,2010,131500
"Y","IR1",2,5,5,1392,528,1,2010,121500
"Y","Reg",1,5,5,912,336,1,2010,125000
"Y","IR1",1,5,6,1060,270,1,2010,154000
"Y","Reg",1,5,5,892,416,0,2010,137900
"Y","Reg",1,6,7,1352,299,0,2010,158000
"Y","Reg",1,5,4,864,280,0,2010,137250
"Y","IR1",2,5,5,1373,591,2,2010,160250
"Y","Reg",2,5,7,1440,480,2,2010,163000
"Y","IR1",2,6,6,1386,440,1,2010,158900
"Y","Reg",2,7,7,2260,533,0,2010,328000
"Y","IR1",2,7,4,1483,690,2,2010,270000
"N","Reg",2,4,4,756,440,0,2010,85000
"Y","Reg",2,4,4,1067,436,0,2010,128000
"Y","Reg",2,7,4,1524,586,1,2010,260000
"Y","IR1",2,6,8,1981,522,1,2010,230000
"Y","Reg",1,3,8,1610,480,1,2010,124000
"N","Reg",1,5,5,835,366,0,2010,83000
"Y","Reg",1,6,6,1074,467,1,2010,144500
"Y","Reg",1,5,6,1144,596,0,2010,129000
"Y","Reg",1,4,8,1531,209,1,2010,127000
"Y","Reg",1,5,5,1172,366,0,2010,128000
"Y","Reg",2,6,6,1212,460,0,2010,186000
"Y","IR2",2,7,5,1508,572,2,2010,308030
"Y","IR1",2,5,5,1298,504,0,2010,114000
"Y","Reg",1,4,6,930,308,0,2010,84900
"Y","Reg",2,6,7,1732,476,1,2010,178000
"Y","Reg",2,7,4,1433,528,2,2010,270000
"Y","IR1",4,6,8,1802,1017,1,2010,218000
"Y","Reg",2,7,8,1949,574,1,2010,236000
"Y","Reg",2,6,5,996,564,0,2010,147000
"Y","IR1",3,8,7,1694,776,0,2010,245350
"Y","Reg",2,7,6,1208,632,0,2010,206000
"Y","IR1",3,7,6,1226,740,0,2010,198900
"Y","Reg",2,7,6,1222,615,0,2010,187000
"Y","Reg",3,7,11,3222,594,2,2010,320000
"Y","IR1",2,6,6,1445,484,0,2010,138500
"Y","Reg",2,6,6,1052,440,0,2010,155000
"Y","Reg",2,5,4,965,580,0,2010,159000
"Y","IR1",2,7,8,1692,513,1,2010,191000
"Y","Reg",2,6,7,1682,523,0,2010,200500
"Y","IR1",1,5,5,1026,308,0,2010,150000
"Y","IR1",1,6,6,1392,299,0,2010,161750
"Y","Reg",1,5,5,894,308,0,2010,128200
"Y","Reg",2,5,5,876,484,0,2010,127000
"Y","Reg",3,8,8,1978,850,1,2010,318000
"Y","Reg",2,8,6,1601,670,1,2010,272000
"Y","IR1",2,7,7,1829,613,1,2010,237000
"Y","Reg",2,7,9,2098,621,1,2010,240000
"Y","IR2",2,7,6,1661,598,0,2010,224900
"Y","Reg",2,6,4,848,420,0,2010,143750
"Y","Reg",2,6,3,848,420,0,2010,143000
"Y","IR2",2,8,8,1668,502,1,2010,232000
"Y","Reg",2,7,7,1484,606,0,2010,213000
"Y","Reg",2,7,6,1414,494,0,2010,185500
"N","Reg",1,3,5,640,240,0,2010,84900
"Y","Reg",1,5,6,992,319,0,2010,155891
"N","Reg",0,5,8,1664,0,0,2010,100000
"Y","IR1",1,5,6,1196,336,0,2010,144000
"N","Reg",2,4,5,1120,480,0,2010,64000
"Y","Reg",1,6,5,1096,352,1,2010,125200
"Y","Reg",2,6,6,1117,672,1,2010,107000
"Y","Reg",0,4,5,960,0,0,2010,90000
"Y","Reg",2,4,5,1121,440,0,2010,140000
"Y","Reg",1,6,7,1487,220,1,2010,113000
"N","Reg",1,4,5,924,280,0,2010,80000
"Y","Reg",1,5,7,1526,364,1,2010,144500
"N","Reg",1,5,5,1296,260,1,2010,104000
"N","Reg",1,6,6,1647,216,0,2010,128000
"N","Reg",1,3,5,864,200,0,2010,58500
"Y","Reg",1,5,6,1691,308,1,2010,127000
"Y","Reg",2,6,4,856,399,1,2010,126000
"Y","Reg",0,4,10,2650,0,0,2010,160000
"Y","Reg",0,5,7,1666,0,1,2010,100000
"Y","Reg",1,6,10,2447,336,1,2010,169000
"Y","IR1",1,7,8,2133,312,2,2010,257500
"Y","Reg",2,5,11,2177,484,0,2010,215000
"Y","Reg",1,7,9,2340,252,2,2010,266500
"Y","Reg",2,7,7,1902,567,2,2010,335000
"Y","IR1",2,7,6,1652,473,0,2010,203135
"Y","IR1",2,8,4,1034,598,1,2010,185000
"Y","IR1",2,8,5,1191,531,1,2010,162500
"Y","IR1",2,7,6,1801,484,2,2010,289000
"Y","Reg",1,4,7,1154,240,0,2010,125500
"Y","Reg",1,2,4,540,200,0,2010,82000
"Y","Reg",1,6,5,1107,625,0,2010,110000
"Y","Reg",2,4,6,1128,528,0,2010,68400
"Y","Reg",1,4,7,1178,384,0,2010,102776
"N","Reg",2,5,4,1044,504,0,2010,55993
"Y","Reg",1,4,5,952,330,0,2010,50138
"Y","IR1",2,8,5,1646,525,1,2010,246000
"Y","Reg",3,8,8,1916,741,1,2010,254900
"Y","Reg",2,6,6,1285,473,1,2010,190000
"Y","IR1",2,7,7,1560,573,0,2010,201000
"Y","IR1",3,6,6,1034,888,0,2010,169900
"Y","IR1",2,6,9,2048,776,0,2010,170000
"Y","IR1",2,5,7,1687,572,2,2010,160000
"Y","IR1",3,7,6,1346,660,1,2010,220000
"Y","Reg",2,7,6,1214,520,0,2010,179781
"Y","Reg",2,5,7,1444,400,0,2010,174000
"Y","Reg",3,8,8,1968,680,1,2010,269500
"Y","Reg",2,7,8,1894,510,1,2010,214900
"Y","Reg",2,8,9,1908,431,0,2010,202900
"Y","IR1",3,9,10,2018,746,1,2010,378500
"Y","Reg",2,5,7,1264,528,1,2010,169000
"Y","Reg",2,5,7,1430,624,0,2010,173500
"Y","Reg",0,6,8,1824,0,0,2010,139000
"Y","Reg",2,5,7,1344,686,1,2010,166500
"Y","Reg",1,4,6,1092,286,0,2010,83500
"Y","Reg",1,5,5,945,253,1,2010,119500
"Y","Reg",1,5,4,1112,336,0,2010,85000
"Y","Reg",0,4,5,1092,0,0,2010,76000
"Y","Reg",0,4,3,630,0,0,2010,75500
"Y","Reg",0,4,5,1092,0,0,2010,88250
"Y","Reg",1,4,5,1092,286,0,2010,85500
"Y","Reg",1,5,5,874,352,0,2010,130000
"Y","IR1",1,5,6,1188,312,0,2010,157900
"Y","Reg",2,5,5,833,495,0,2010,149900
"Y","Reg",2,5,10,2432,616,0,2010,159000
"Y","Reg",2,5,6,1274,576,0,2010,136000
"Y","IR1",1,5,8,1479,275,0,2010,161000
"Y","Reg",2,8,6,1803,482,2,2010,285000
"Y","Reg",2,6,7,1797,616,1,2010,231000
"Y","IR1",1,6,5,882,502,0,2009,124500
"Y","Reg",2,6,7,1434,528,1,2009,157000
"Y","Reg",2,8,9,2704,538,3,2009,345000
"Y","IR1",2,6,7,1608,470,1,2009,189500
"Y","IR1",3,8,9,2283,632,1,2009,270000
"Y","Reg",2,7,7,1628,390,1,2009,189000
"Y","IR1",3,9,7,1746,758,2,2009,377500
"Y","IR1",2,7,7,1474,400,1,2009,168500
"Y","IR1",2,8,8,2522,564,1,2009,375000
"Y","IR1",2,8,5,1659,499,1,2009,278000
"Y","IR1",2,8,5,1478,495,0,2009,240000
"Y","IR1",2,8,6,1734,528,0,2009,239500
"Y","IR1",2,7,7,1382,396,1,2009,177500
"Y","IR1",2,7,7,1718,427,1,2009,185000
"Y","Reg",2,6,7,1636,440,1,2009,191000
"Y","IR1",2,6,7,1571,380,1,2009,178000
"Y","IR2",2,6,6,1470,420,1,2009,185000
"Y","IR1",2,6,7,1516,409,1,2009,181316
"Y","Reg",2,6,6,1190,430,1,2009,166000
"Y","IR1",2,6,7,1593,389,1,2009,178000
"Y","Reg",2,6,6,1481,343,1,2009,174000
"Y","IR1",2,6,6,1167,400,0,2009,173000
"Y","IR1",2,7,9,1983,490,1,2009,225000
"Y","Reg",2,7,5,1442,500,0,2009,180500
"Y","IR1",2,8,4,1360,565,1,2009,187500
"Y","IR1",3,9,9,2234,1166,1,2009,501837
"Y","IR1",3,8,7,2046,834,1,2009,372500
"Y","IR1",2,7,7,1530,430,1,2009,260000
"Y","Reg",2,5,6,1934,567,1,2009,185000
"Y","IR1",2,7,10,2353,484,1,2009,260000
"Y","IR1",2,6,7,1586,435,1,2009,181000
"Y","Reg",2,7,6,1411,544,1,2009,82500
"Y","IR1",2,6,8,1602,529,1,2009,215000
"Y","IR1",2,7,8,2050,529,1,2009,154000
"Y","Reg",2,6,7,1671,484,1,2009,200000
"Y","IR1",2,7,9,2673,441,1,2009,249000
"Y","Reg",2,7,6,1472,588,2,2009,187500
"Y","Reg",2,6,7,1707,479,1,2009,184000
"Y","Reg",2,8,9,2524,542,1,2009,278000
"Y","IR1",2,7,7,1601,478,1,2009,157000
"Y","Reg",2,7,6,1370,479,1,2009,152000
"Y","IR1",2,5,9,1868,484,1,2009,197500
"Y","Reg",2,7,7,1884,581,1,2009,240900
"Y","IR1",2,8,8,1935,552,0,2009,263435
"Y","Reg",2,8,7,1874,588,1,2009,220000
"Y","Reg",2,8,7,1811,565,1,2009,235000
"Y","IR1",2,5,7,1621,478,2,2009,213000
"Y","Reg",2,6,6,1116,528,1,2009,167900
"Y","IR1",2,7,5,1193,506,1,2009,158000
"Y","Reg",2,6,7,1350,478,1,2009,165000
"Y","IR1",2,6,7,2119,583,1,2009,158000
"Y","Reg",0,5,8,1792,0,0,2009,136000
"Y","IR1",2,5,5,1002,902,0,2009,148500
"Y","Reg",2,6,5,1026,440,0,2009,156000
"Y","IR1",2,5,6,1180,477,0,2009,128000
"Y","IR1",1,5,6,1050,336,0,2009,143000
"Y","Reg",2,4,5,864,576,0,2009,76500
"Y","Reg",2,4,5,864,660,0,2009,120500
"Y","Reg",2,4,5,864,463,0,2009,124500
"Y","Reg",2,4,4,864,576,0,2009,97000
"Y","Reg",2,4,5,864,576,0,2009,130000
"Y","Reg",1,6,5,987,264,0,2009,111000
"Y","Reg",2,5,7,1365,440,0,2009,125000
"Y","Reg",1,5,6,1302,280,0,2009,112000
"Y","Reg",1,6,5,987,288,0,2009,97000
"Y","Reg",1,6,5,987,264,0,2009,118000
"Y","Reg",1,5,6,1302,264,0,2009,119500
"Y","IR1",2,6,5,958,440,0,2009,143750
"Y","Reg",2,6,7,1548,440,1,2009,146000
"Y","Reg",2,6,7,1456,440,1,2009,148500
"Y","Reg",2,7,4,1055,440,1,2009,123000
"Y","Reg",2,6,6,1322,440,1,2009,147000
"Y","Reg",2,6,6,1456,440,1,2009,137900
"Y","Reg",2,6,7,1548,440,1,2009,147000
"Y","Reg",2,6,7,1441,440,1,2009,148500
"Y","Reg",2,6,6,1456,440,1,2009,138000
"Y","Reg",1,7,5,836,345,0,2009,128500
"Y","Reg",1,5,5,892,288,0,2009,100000
"Y","Reg",2,5,5,1120,656,1,2009,148800
"Y","Reg",3,10,7,1718,786,1,2009,337500
"Y","Reg",3,9,10,2772,754,3,2009,462000
"Y","Reg",3,9,11,3140,820,2,2009,485000
"Y","Reg",3,10,10,2402,672,2,2009,555000
"Y","IR1",2,9,6,1652,840,2,2009,325000
"Y","Reg",3,8,7,1600,890,1,2009,256300
"Y","Reg",3,8,8,2042,1390,1,2009,253293
"Y","Reg",3,9,8,2690,864,1,2009,398800
"Y","IR1",3,9,10,2184,836,1,2009,335000
"Y","Reg",3,9,7,2020,896,1,2009,404000
"Y","Reg",3,10,9,2020,900,1,2009,402861
"Y","IR1",3,10,10,2296,842,1,2009,451950
"Y","Reg",3,10,8,2674,762,2,2009,610000
"Y","Reg",3,9,12,2822,1020,1,2009,582933
"Y","Reg",3,9,7,1736,834,1,2009,360000
"Y","IR1",3,8,7,1782,932,2,2009,296000
"Y","IR3",3,8,10,2520,640,1,2009,409900
"Y","IR1",3,8,7,1717,908,1,2009,255500
"Y","IR1",3,9,8,1743,927,1,2009,335000
"Y","Reg",3,8,7,1713,856,1,2009,274900
"Y","IR1",3,9,6,1531,700,1,2009,300000
"Y","IR1",3,9,7,1808,850,1,2009,324000
"Y","Reg",3,9,10,2224,738,1,2009,350000
"Y","IR1",3,8,7,1836,862,1,2009,280000
"Y","IR1",3,8,7,1629,880,1,2009,284000
"Y","IR1",2,7,8,1760,583,1,2009,269500
"Y","IR1",2,7,7,1502,644,0,2009,233170
"Y","Reg",3,10,8,2392,968,1,2009,386250
"Y","IR1",3,9,10,2452,886,1,2009,445000
"Y","IR1",3,8,10,2400,730,1,2009,290000
"Y","IR1",3,8,6,1606,871,1,2009,255900
"Y","IR1",2,6,6,1358,484,1,2009,213000
"Y","IR1",2,6,5,1306,624,1,2009,196000
"Y","IR1",2,6,5,1306,624,1,2009,184500
"Y","IR1",2,7,6,1358,484,1,2009,212500
"Y","IR1",2,7,6,1314,626,1,2009,230000
"Y","IR1",3,10,8,2492,949,1,2009,552000
"Y","IR1",3,8,8,2200,685,1,2009,382500
"Y","IR1",2,9,6,1884,649,1,2009,320000
"Y","Reg",2,9,6,1456,539,1,2009,248500
"Y","Reg",3,8,8,1712,701,1,2009,286500
"Y","Reg",2,8,6,1324,550,1,2009,254000
"Y","Reg",2,7,6,1405,478,1,2009,173000
"Y","Reg",2,7,6,1626,474,0,2009,173000
"Y","Reg",2,7,8,1456,390,1,2009,184000
"Y","IR1",2,6,7,1490,392,1,2009,167800
"Y","IR2",2,6,8,1484,390,1,2009,174000
"Y","IR2",2,6,6,1560,400,1,2009,174000
"Y","Reg",3,7,7,1555,660,1,2009,174000
"Y","Reg",3,7,7,1569,660,1,2009,175900
"Y","Reg",2,7,7,1555,430,1,2009,192500
"Y","Reg",2,7,7,1504,457,1,2009,181000
"Y","Reg",2,7,5,1220,397,1,2009,180000
"Y","Reg",2,7,5,1145,397,1,2009,160200
"Y","IR1",2,7,6,1432,432,1,2009,188500
"Y","IR1",2,6,8,2267,390,1,2009,200000
"Y","IR1",2,7,6,1374,400,1,2009,170000
"Y","IR1",2,7,7,1630,436,1,2009,189500
"Y","Reg",2,8,7,1419,527,1,2009,184100
"Y","IR1",2,7,7,1594,434,1,2009,195500
"Y","IR1",2,7,8,1489,400,1,2009,192000
"Y","IR1",2,7,7,1342,393,1,2009,178000
"Y","Reg",2,7,6,1314,626,1,2009,207500
"Y","IR1",2,7,8,2256,554,1,2009,236000
"Y","IR1",3,8,8,2004,644,1,2009,257500
"Y","IR1",2,6,7,2054,390,1,2009,244000
"Y","IR1",2,7,7,1374,400,0,2009,167000
"Y","IR1",2,6,7,1800,463,1,2009,179000
"Y","IR1",2,6,7,1514,394,1,2009,190000
"Y","Reg",2,7,7,1430,400,1,2009,156000
"Y","IR2",3,7,8,2312,658,1,2009,245000
"Y","IR3",2,6,7,1675,502,1,2009,181000
"Y","IR1",2,7,8,2060,390,1,2009,214000
"Y","IR1",2,7,7,1430,410,1,2009,168000
"Y","Reg",3,8,8,2365,856,1,2009,337000
"Y","IR1",3,8,9,2794,810,1,2009,403000
"Y","Reg",3,8,10,2687,810,2,2009,327000
"Y","IR1",3,8,7,2450,1069,1,2009,340000
"Y","IR1",3,8,8,2612,676,1,2009,336000
"Y","IR1",3,7,7,2344,889,1,2009,265000
"Y","IR1",3,8,7,2063,815,2,2009,315000
"Y","Reg",3,7,9,2646,656,1,2009,260000
"Y","Reg",2,7,7,2061,647,1,2009,260000
"Y","IR1",2,8,8,2232,623,1,2009,263550
"Y","IR2",3,8,8,2448,711,1,2009,402000
"Y","IR2",2,7,7,1850,467,1,2009,248000
"Y","Reg",3,8,6,1468,898,1,2009,244600
"Y","IR1",3,8,7,1696,972,0,2009,275000
"Y","Reg",3,8,7,1658,726,1,2009,257500
"Y","Reg",3,8,7,1578,840,1,2009,287090
"Y","Reg",3,8,7,1702,844,1,2009,275500
"Y","IR1",2,8,7,1432,492,1,2009,245000
"Y","Reg",2,7,8,1971,689,1,2009,253000
"Y","Reg",3,9,9,2490,795,2,2009,468000
"Y","Reg",2,7,7,1852,644,1,2009,252678
